sc_id,sc_model_name,sc_model_code,sc_maker,sc_release_date,sc_os,sc_sale_type,sc_display_cm,sc_display_in,sc_display_type,sc_display_resolution,sc_display_ppi,sc_display_hz,sc_display_aspect_ratio,sc_display_size,sc_display_width,sc_display_height,sc_display_hdr,sc_ap_type,sc_core,sc_core_clock,sc_gpu_core,sc_npu_dsp,sc_sensor_hub,sc_modem,sc_ram,sc_Builtin_memory,sc_storage,sc_external_memory,sc_5g,sc_4g,sc_wifi,sc_bluetooth,sc_satellite,sc_usim_type,sc_dual_usim,sc_camera_type,sc_back_camera,sc_front_camera,sc_camera_resolution,sc_flash,sc_photo_resolution,sc_front_resolution,sc_front_video_resolution,sc_camera_aperture,sc_hand_tremor_correction,sc_hand_tremor_protection,sc_camera_flash,sc_hdr_filming,sc_auto_hdr,sc_optical_zoom,sc_geotag,sc_laser_auto_focus,sc_auto_focus,sc_out_focus,sc_touch_focus,sc_panorama,sc_tof,sc_night_photography,sc_iphone_terminal,sc_speaker,sc_high_sound_quality,sc_sound_technology,sc_fingerprint,sc_face,sc_iris,sc_voice,sc_ai,sc_payment,sc_touch_pen,sc_dustproof,sn_etc,sn_charging_terminal,sc_battery,sc_battery_type1,sc_battery_type2,sc_battery_type3,sc_battery_terminal,sc_fast_charge,sc_wireless_charge,sc_color,sc_width,sc_height,sc_thickness,sc_weight
42,갤럭시 J7 2017,SM-J730,samsung,2017. 07,안드로이드 7.0 누가 | 안드로이드 8.0 Oreo,,,5.5,Super AMOLED,1080 x 1920,401,,,,68.49,121.76,,Samsung Exynos 7 Octa 7870,8개 (64 비트),1600MHz,ARM MaliT830 MP2,,,,3 GB,16GB,,,,4G,,4.1,,나노유심 ,,,,,,LED,4160 x 3120 (13 메가픽셀),4160 x 3120 (13 메가픽셀),1920 x 1080 30 FPS,F/1.7,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3600,Li-Ion,,일체형,,,,,74.8,152.5,8,"181"
43,갤럭시 J3 2016,SM-J320,samsung,2016. 05,안드로이드 5.1.1 롤리팝,,,5,Super AMOLED,720 x 1280,294,,,,62.26,110.69,,Spreadtrum SC9830A,4개 (32 비트),1500MHz,ARM Mali400 MP2,,,,1.5 GB,8GB,,Micro SD,,4G,802.11b/g/n,4,,마이크로유심 ,,,,,,LED,3264 x 2448 (8 메가픽셀),1600 x 1200 (1.9 메가픽셀),1280 x 720 30 FPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,Li-Ion,,분리형,,,,,71,142.3,7.9,"138"
44,갤럭시 J7 2016,SM-J710,samsung,2016. 04,안드로이드 5.1.1 롤리팝 | 안드로이드 6.0.1 마시멜로우 | 안드로이드 7.0 누가 | 안드로이드 8.1 Oreo,,,5.5,Super AMOLED,720 x 1280,267,,,,68.49,121.76,,Samsung Exynos 7 Octa 7870,8개 (64 비트),1600MHz,ARM MaliT830 MP2,,,,2 | 3 GB,16GB,,Micro SD,,4G,802.11b/g/n,4.1,,마이크로유심 ,,,,,,Dual LED,4160 x 3120 (13 메가픽셀),2576 x 1932 (5 메가픽셀),1920 x 1080 (Full HD)30 FPS,F/1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,Li-Ion,,분리형,,,,,76,151.7,7.8,"170"
45,갤럭시 J5 2016,SM-J510,samsung,2016. 04,안드로이드 5.1 롤리팝 | 안드로이드 6.0.1 마시멜로우 | 안드로이드 7.0 누가 | 안드로이드 7.1.1 누가,,,5.2,Super AMOLED,720 x 1280,282,,,,64.75,115.12,,Qualcomm Snapdragon 410 MSM8916,4개 (64 비트),1200MHz,Qualcomm Adreno 306,,,,2 GB,16GB,,Micro SD,,4G,802.11b/g/n,4.1,,마이크로유심 ,,,,,,LED,4128 x 3096 (12.8 메가픽셀),2576 x 1932 (5 메가픽셀),1920 x 1080 (Full HD)30 FPS,F/1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100,Li-Ion,,분리형,,,,,72.3,145.8,8.1,"159"
46,갤럭시 J7,SM-J700,samsung,2015. 11,안드로이드 5.1.1 롤리팝 | 안드로이드 6.0.1 마시멜로우,,,5.5,TFT,720 x 1280,267,,,,68.49,121.76,,Qualcomm Snapdragon 615 MSM8939,8개 (64 비트),1400MHz,Qualcomm Adreno 405,,,,1.5 GB,16GB,,Micro SD,,4G,802.11a/b/g/n,4.1,,마이크로유심 ,,,,,,LED,4128 x 3096 (12.8 메가픽셀),2560 x 1920 (4.9 메가픽셀),1920 x 1080 (Full HD)30 FPS,F/1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,Li-Ion,,분리형,,,,,79.1,152.2,7.9,"171"
47,갤럭시 J6,SM-J600,samsung,2018. 07,안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,5.6,Super AMOLED,720 x 1480,294,,,,62.23,127.91,,Samsung Exynos 7 Octa 7870,8개 (64 비트),1600MHz,ARM MaliT830 MP2,,,,3 | 4 GB,32GB/64GB,,,,4G,,4.2,,나노유심 ,,,,,,LED,4128 x 3096 (12.8 메가픽셀),3264 x 2448 (8 메가픽셀),1920 x 1080 30 FPS,F/1.9,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3000,Li-Ion,,일체형,,,,,70.2,149.3,8.2,"154"
48,갤럭시 J5,SM-J500,samsung,2015. 07,안드로이드 5.1 롤리팝,,,5,TFT,720 x 1280,294,,,,62.26,110.69,,Qualcomm Snapdragon 410 MSM8916,4개 (64 비트),1200MHz,Qualcomm Adreno 306,,,,1.5 GB,16GB,,Micro SD,,4G,802.11b/g/n,4.1,,마이크로유심 ,,,,,,LED,4128 x 3096 (12.8 메가픽셀),2560 x 1920 (4.9 메가픽셀),1920 x 1080 (Full HD)30 FPS,F/1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,Li-Ion,,분리형,,,,,73,142,8.5,"149"
49,갤럭시 J4 Plus,SM-J415,samsung,2018. 11,안드로이드 8.1 Oreo | 안드로이드 9.0 Pie,,,6,TFT,720 x 1480,274,,,,66.67,137.04,,Qualcomm Snapdragon 425 MSM8917,4개 (64 비트),1400MHz,Qualcomm Adreno 308,,,,2 | 3 GB,16GB/32GB,,,,4G,,4.1,,나노유심 ,,,,,,LED,4160 x 3120 (13 메가픽셀),2560 x 1920 (4.9 메가픽셀),1920 x 1080 30 FPS,F/1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,Li-Ion,,일체형,,,,,76.7,161.3,7.9,"178"
50,갤럭시S10 5G,SM-G977,samsung,2019. 03,안드로이드 9.0 Pie,,,6.7,Dynamic AMOLED,1440 x 3040,502,,,,72.85,153.8,,Samsung Exynos 9 9820,8개 (64 비트),,ARM MaliG76 MP12,,,,8 GB,256GB/512GB,,,5G,,,5,,나노유심 ,,,,,,Dual LED,4032 x 3024 (12.2 메가픽셀),3648 x 2736 (10 메가픽셀),3840 x 2160 60 FPS,F/1.5 - 2.4,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,4500,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,77.1,162.6,7.9,"198"
51,갤럭시S10e,SM-G970,samsung,2019. 03,안드로이드 9.0 Pie,,,5.8,Dynamic AMOLED,1080 x 2280,,,,,63.07,133.14,,Samsung Exynos 9 9820,8개 (64 비트),,ARM MaliG76 MP12,,,,6 | 8 GB,128GB/256GB,,,,4G,,5,,나노유심 ,,,,,,Dual LED,4032 x 3024 (12.2 메가픽셀),,30 FPS,F/1.5 - 2.4,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3100,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,69.9,142.2,7.9,"150"
52,갤럭시S10,SM-G973,samsung,2019. 03,안드로이드 9.0 Pie,,,6.1,Dynamic AMOLED,1440 x 3040,551,,,,66.33,140.03,,Samsung Exynos 9 9820,8개 (64 비트),,ARM MaliG76 MP12,,,,8 GB,128GB/512GB,,,,4G,,5,,나노유심 ,,,,,,Dual LED,4032 x 3024 (12.2 메가픽셀),,30 FPS,F/1.5 - 2.4,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3400,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,70.4,149.9,7.8,"157"
53,갤럭시S10 Plus,SM-G975,samsung,2019. 03,안드로이드 9.0 Pie,,,6.3,Dynamic AMOLED,1440 x 3040,534,,,,69.59,146.91,,Samsung Exynos 9 9820,8개 (64 비트),,ARM MaliG76 MP12,,,,8 | 12 GB,128GB/512GB/1024GB,,,,4G,,5,,나노유심 ,,,,,,Dual LED,4032 x 3024 (12.2 메가픽셀),3648 x 2736 (10 메가픽셀),3840 x 2160 60 FPS,F/1.5 - 2.4,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,4100,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,74.1,157.6,7.8,"198"
54,갤럭시S9,SM-G960,samsung,2018. 03,안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,5.8,Super AMOLED,1440 x 2960,568,,,,64.45,132.48,,Samsung Exynos 9 9810,8개 (64 비트),2700MHz,ARM MaliG72 MP18,,,,4 GB,64GB/128GB/256GB,,,,4G,,5,,나노유심 ,,,,,,Dual LED,4032 x 3024 (12.2 메가픽셀),3264 x 2448 (8 메가픽셀),3840 x 2160 30 FPS,F/1.5 - 2.4,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3000,Li-Polymer,,"급속충전
일체형",,,무선충전 지원,,68.7,147.7,8.5,"163"
55,갤럭시S9 Plus,SM-G965,samsung,2018. 03,안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,6.2,Super AMOLED,1440 x 2960,531,,,,68.89,141.61,,Samsung Exynos 9 9810,8개 (64 비트),2700MHz,ARM MaliG72 MP18,,,,6 GB,64GB/128GB/256GB,,,,4G,,5,,나노유심 ,,,,,,Dual LED,4032 x 3024 (12.2 메가픽셀),3264 x 2448 (8 메가픽셀),3840 x 2160 30 FPS,F/1.5 - 2.4,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3500,Li-Polymer,,"급속충전
일체형",,,무선충전 지원,,73.8,158.1,8.5,"189"
56,갤럭시S8,SM-G950,samsung,2017. 04,안드로이드 7.0 누가 | 안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,5.8,Super AMOLED,1440 x 2960,568,,,,64.45,132.48,,Samsung Exynos 9 Octa 8895,8개 (64 비트),2300MHz,ARM MaliG71 MP20,,,,4 GB,64GB,,Micro SD,,4G,802.11a/b/g/n/ac,5,,나노유심 ,,,,,,Dual LED,4032 x 3024 (12.2 메가픽셀),3264 x 2448 (8 메가픽셀),3840 x 2160 (UHD)30 FPS,F/1.7,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3000,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,68.1,148.9,8,"155"
57,갤럭시S8 Plus,SM-G955,samsung,2017. 04,안드로이드 7.0 누가 | 안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,6.2,Super AMOLED,1440 x 2960,531,,,,68.89,141.61,,Samsung Exynos 9 Octa 8895,8개 (64 비트),2300MHz,ARM MaliG71 MP20,,,,4 | 6 GB,64GB/128GB,,Micro SD,,4G,,5,,나노유심 ,,,,,,Dual LED,4032 x 3024 (12.2 메가픽셀),3264 x 2448 (8 메가픽셀),3840 x 2160 (UHD)30 FPS,F/1.7,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3500,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,73.4,159.5,8.1,"173"
58,갤럭시S7,SM-G930,samsung,2016. 03,안드로이드 6.0.1 마시멜로우 | 안드로이드 7.0 누가 | 안드로이드 8.0 Oreo,,,5.1,Super AMOLED,1440 x 2560,576,,,,63.51,112.9,,Samsung Exynos 8 Octa 8890,8개 (64 비트),2300MHz,ARM MaliT880 MP12,,,,4 GB,32GB/64GB,,Micro SD,,4G,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,,LED,4032 x 3024 (12.2 메가픽셀),2560 x 1440 (3.7 메가픽셀),3840 x 2160 (UHD)30 FPS,F/1.7,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3000,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,69.6,142.4,7.9,"152"
59,갤럭시S7 Edge,SM-G935,samsung,2016. 12,안드로이드 6.0.1 마시멜로우 | 안드로이드 7.0 누가 | 안드로이드 8.0 Oreo,,,5.5,Super AMOLED,1440 x 2560,534,,,,68.49,121.76,,Samsung Exynos 8 Octa 8890,8개 (64 비트),2300MHz,ARM MaliT880 MP12,,,,4 GB,32GB/64GB,,,,4G,,4.2,,나노유심 ,,,,,,LED,4032 x 3024 (12.2 메가픽셀),2560 x 1440 (3.7 메가픽셀),3840 x 2160 30 FPS,F/1.7,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3600,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,72.6,150.9,7.7,"157"
60,갤럭시S6 Edge Plus,SM-G928,samsung,2015. 08,안드로이드 5.1.1 롤리팝 | 안드로이드 6.0.1 마시멜로우 | 안드로이드 7.0 누가 | 안드로이드 8.0 Oreo,,,5.7,Super AMOLED,1440 x 2560,515,,,,70.98,126.19,,Samsung Exynos 7 Octa 7420,8개 (64 비트),2100MHz,ARM MaliT760 MP8,,,,4 GB,32GB/64GB,,,,4G,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,,LED,5312 x 2988 (15.9 메가픽셀),2560 x 1920 (4.9 메가픽셀),3840 x 2160 (UHD)30 FPS,F/1.9,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3000,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,75.8,154.4,6.9,"153"
61,갤럭시S6 Edge,SM-G925,samsung,2015. 04,안드로이드 5.0.2 롤리팝 | 안드로이드 5.1.1 롤리팝 | 안드로이드 6.0 마시멜로우 | 안드로이드 7.0 누가,,,5.1,Super AMOLED,1440 x 2560,576,,,,63.51,112.9,,Samsung Exynos 7 Octa 7420,8개 (64 비트),2100MHz,ARM MaliT760 MP8,,,,3 GB,32GB/64GB/128GB,,,,4G,802.11a/b/g/n/ac,4.1,,나노유심 ,,,,,,LED,5312 x 2988 (15.9 메가픽셀),2592 x 1944 (5 메가픽셀),3840 x 2160 (Full HD)30 FPS,F/1.9,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,2600,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,70.1,142.1,7,"132"
62,갤럭시S6,SM-G920,samsung,2015. 04,안드로이드 5.0.2 롤리팝 | 안드로이드 5.1.1 롤리팝 | 안드로이드 6.0.1 마시멜로우 | 안드로이드 7.0 누가,,,5.1,Super AMOLED,1440 x 2560,576,,,,63.51,112.9,,Samsung Exynos 7 Octa 7420,8개 (64 비트),2100MHz,ARM MaliT760 MP8,,,,3 GB,32GB/64GB/128GB,,,,4G,802.11a/b/g/n,4.1,,나노유심 ,,,,,,LED,5312 x 2988 (15.9 메가픽셀),2560 x 1920 (4.9 메가픽셀),3840 x 2160 (Full HD)30 FPS,F/1.9,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,2550,Li-Ion,,"급속충전
일체형",,,무선충전 지원,,70.5,143.4,6.8,"138"
63,갤럭시S5,SM-G900,samsung,2014. 03,안드로이드 4.4.2 KitKat | 안드로이드 5.0 롤리팝 | 안드로이드 6.0.1 마시멜로우,,,5.1,Super AMOLED,1080 x 1920,432,,,,63.51,112.9,,Qualcomm Snapdragon 801 MSM8974AC,4개 (32 비트),2500MHz,Qualcomm Adreno 330,,,,2 GB,16GB/32GB,,Micro SD,,4G,802.11a/b/g/n/ac,4,,마이크로유심 ,,,,,,LED,5312 x 2988 (15.9 메가픽셀),1920 x 1080 (2.1 메가픽셀),3840 x 2160 (UHD)30 FPS,F/2.2,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,2800,Li-Ion,,분리형,,,무선충전 지원,,72.5,142,8.1,"145"
64,갤럭시S5 LTE-A,SM-G906,samsung,2014. 06,안드로이드 4.4.2 KitKat | 안드로이드 6.0 마시멜로우,,,5.1,Super AMOLED,1440 x 2560,576,,,,63.51,112.9,,Qualcomm Snapdragon 805 APQ8084,4개 (32 비트),2500MHz,Qualcomm Adreno 420,,,,3 GB,32GB,,,,,,4,,마이크로유심 ,,,,,,LED,5312 x 2988 (15.9 메가픽셀),1920 x 1080 (2.1 메가픽셀),3840 x 2160 30 FPS,F/2.2,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,2800,Li-Ion,,분리형,,,무선충전 지원,,72.5,142,8.1,"145"
65,갤럭시S4 ,SHV-E300,samsung,2013. 04,안드로이드 4.2.2 Jelly Bean | 안드로이드 4.3 Jelly Bean | 안드로이드 4.4 KitKat | 안드로이드 5.0.1 롤리팝,,,4.99,Super AMOLED,1080 x 1920,441,,,,62.26,110.69,,Samsung Exynos 5 Octa 5410,8개 (32 비트),1600MHz,PowerVR SGX544 MP3,,,,2 GB,16GB/32GB/64GB,,Micro SD,,4G,802.11a/b/g/n,4,,마이크로유심 ,,,,,,LED,4128 x 3096 (12.8 메가픽셀),1920 x 1080 (2.1 메가픽셀),1920 x 1080 (Full HD)30 FPS,F/2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,Li-Ion,,분리형,,,무선충전 지원,,69.8,136.6,7.9,"130"
66,갤럭시S4 LTE-A,SHV-E330,samsung,2013. 06,안드로이드 4.2.2 Jelly Bean | 안드로이드 4.4 KitKat | 안드로이드 5.0.1 롤리팝,,,5,Super AMOLED,1080 x 1920,441,,,,62.26,110.69,,Qualcomm Snapdragon 800 MSM8974,4개 (32 비트),2300MHz,Qualcomm Adreno 330,,,,2 GB,16GB/32GB,,,,4G,802.11a/b/g/n,4,,마이크로유심 ,,,,,,LED,4128 x 3096 (12.8 메가픽셀),,1920 x 1080 (Full HD)30 FPS,F/2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,Li-Ion,,분리형,,,무선충전 지원,,69.8,136.6,7.9,"130"
67,갤럭시S4 Active,SHV-E470,samsung,2013. 06,안드로이드 4.2.2 Jelly Bean | 안드로이드 4.3 Jelly Bean | 안드로이드 4.4 KitKat | 안드로이드 5.0.1 롤리팝,,,4.99,TFT,1080 x 1920,441,,,,62.26,110.69,,Qualcomm Snapdragon 600 APQ8064T,4개 (32 비트),1900MHz,Qualcomm Adreno 320,,,,2 GB,16GB,,Micro SD,,4G,802.11a/b/g/n,4,,마이크로유심 ,,,,,,LED,3264 x 2448 (8 메가픽셀),,1920 x 1080 (Full HD)30 FPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,Li-Ion,,분리형,,,무선충전 지원,,71.3,139.7,9.1,"151"
68,갤럭시S4 Zoom,SM-C105,samsung,2013. 06,안드로이드 4.2.2 Jelly Bean | 안드로이드 4.3 Jelly Bean | 안드로이드 4.4.2 KitKat,,,4.3,Super AMOLED,540 x 960,256,,,,53.55,95.19,,Pega-Dual +XMM6262,,1500MHz,ARM Mali400 MP4,,,,1.5 GB,8GB,,Micro SD,,4G,802.11a/b/g/n,4,,마이크로유심 ,,,,,,Xenon,4608 x 3456 (15.9 메가픽셀),1600 x 1200 (1.9 메가픽셀),1920 x 1080 (Full HD)30 FPS,F/3.1 - 6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2330,Li-Ion,,분리형,,,,,63.5,125.5,15.4,"208"
69,갤럭시S4 Mini,SHV-E370,samsung,2013. 06,안드로이드 4.2.2 Jelly Bean | 안드로이드 4.4.2 KitKat | 안드로이드 5.0.1 롤리팝,,,4.27,Super AMOLED,540 x 960,258,,,,53.55,95.19,,Qualcomm Snapdragon 400 MSM8930AB,2개 (32 비트),1700MHz,Qualcomm Adreno 305,,,,1.5 GB,8GB/16GB,,Micro SD,,4G,802.11a/b/g/n,4,,마이크로유심 ,,,,,,LED,3264 x 2448 (8 메가픽셀),,1920 x 1080 30 FPS,F/2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,Li-Ion,,분리형,,,,,61.3,124.6,8.94,"107"
70,갤럭시S3 LTE,SHV-E210,samsung,2012. 07,안드로이드 4.1.1 Jelly Bean | 안드로이드 4.3 Jelly Bean,,,4.8,Super AMOLED,720 x 1280,306,,,,59.77,106.26,,Samsung Exynos 4 Quad 4412,4개 (32 비트),1400MHz,ARM Mali400 MP4,,,,2 GB,16GB,,Micro SDHC,,4G,802.11a/b/g/n,4,,마이크로유심 ,,,,,,LED,3264 x 2448 (8 메가픽셀),,1920 x 1080 (Full HD)30 FPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,Li-Ion,,분리형,,,,,70.6,136.6,8.6,"138.5"
71,갤럭시S2 ,SHW-M250,samsung,2011. 04,안드로이드 2.3.4 Gingerbread | 안드로이드 4.0.4 Ice Cream Sandwich | 안드로이드 4.1 Jelly Bean,,,4.3,Super AMOLED Plus,480 x 800,217,,,,56.19,93.66,,Samsung Exynos 4 Dual 4210,2개 (32 비트),1200MHz,ARM Mali400 MP4,,,,1 GB,16GB/32GB,,Micro SDHC,,,802.11a/b/g/n,3,,미니유심 ,,,,,,LED,3264 x 2448 (8 메가픽셀),1600 x 1200 (1.9 메가픽셀),1920 x 1080 (Full HD)30 FPS,F/2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,Li-Ion,,분리형,,,,,66.1,125.3,8.5,"121"
72,갤럭시S2 HD LTE,SHV-E120,samsung,2011. 10,,,,4.65,AMOLED,720 x 1280,316,,,,,,,,,,,,,,1GB,,,Micro SDHC,,4G,802.11a/b/g/n,,,,,,,,,,,,(Full HD)FPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,,,분리형,마이크로 USB,,,,68.8,132.65,9.5,"142"
73,갤럭시S2 LTE,SHV-E110,samsung,2011. 09,,,,4.5,AMOLED,480 x 800,207,,,,,,,,,,,,,,1GB,,,Micro SDHC,,4G,802.11a/b/g/n,,,,,,,,,,,,(Full HD)FPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,,,분리형,마이크로 USB,,,,68.8,129.8,9.49,"135.5"
74,갤럭시S,SHW-M110,samsung,2010. 06,,,,4,AMOLED,480 x 800,233,,,,,,,,,,,,,,512MB,,,Micro SDHC,,,802.11b/g/n,,,,,,,,,,,,(HD)FPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,분리형,마이크로 USB,,,,64.2,122.4,9.9,"121"
75,갤럭시S Hoppin,SHW-M190,samsung,2011. 03,,,,4,AMOLED,480 x 800,233,,,,,,,,,,,,,,512MB,,,Micro SDHC,,,802.11b/g/n,,,,,,,,,,,,(HD)FPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,분리형,삼성 30핀,,,,64,122.4,10.9,"129"
76,갤럭시그랜드 맥스,SM-G720,samsung,2015. 01,안드로이드 4.4.4 KitKat,,,0,TFT,720 x 1280,,,,,65.38,116.22,,Qualcomm Snapdragon 410 MSM8916,4개 (64 비트),1200MHz,Qualcomm Adreno 306,,,,1.5 GB,16GB,,,,4G,,4,,마이크로유심 ,,,,,,LED,4160 x 3120 (13 메가픽셀),2560 x 1920 (4.9 메가픽셀),1920 x 1080 30 FPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,Li-Ion,,분리형,,,,,74.8,146,7.95,
77,갤럭시그랜드2,SM-G710,samsung,2014. 03,안드로이드 4.3 Jelly Bean | 안드로이드 4.4.2 KitKat,,,5.25,TFT,720 x 1280,280,,,,65.38,116.22,,Qualcomm Snapdragon 400 MSM8226,4개 (32 비트),1200MHz,Qualcomm Adreno 305,,,,1.5 GB,8GB,,Micro SD,,4G,802.11a/b/g/n,4,,마이크로유심 ,,,,,,LED,3264 x 2448 (8 메가픽셀),,1920 x 1080 30 FPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,Li-Ion,,분리형,,,,,75.3,146.8,8.95,"163"
78,갤럭시그랜드,SHV-E270,samsung,2013. 01,,,,5,TFT,480 x 800,187,,,,,,,,,,,,,,1GB,,,Micro SDHC,,4G,802.11a/b/g/n,,,,,,,,,,,,(Full HD)FPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,분리형,마이크로 USB,,,,76.9,143.5,9.6,"162"
79,갤럭시노트10,SM-N971,samsung,2019. 08,안드로이드 9.0 Pie,,,6.3,Dynamic AMOLED,1080 x 2280,400,,,,68.5,144.62,,Samsung Exynos 9 9825,8개 (64 비트),,ARM MaliG76 MP12,,,,8 | 12 GB,256GB,,,5G,,,5,,나노유심 ,,,,,,Dual LED,4032 x 3024 (12.2 메가픽셀),3648 x 2736 (10 메가픽셀),3840 x 2160 60 FPS,F/1.5 - 2.4,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3500,Li-Polymer,,"급속충전
일체형",,,무선충전 지원,,71.8,151,7.9,"168"
80,갤럭시노트10 Plus,SM-N976,samsung,2019. 08,안드로이드 9.0 Pie,,,6.8,Dynamic AMOLED,1440 x 3040,495,,,,73.94,156.09,,Samsung Exynos 9 9825,8개 (64 비트),,ARM MaliG76 MP12,,,,12 GB,256GB/512GB,,,5G,,,5,,나노유심 ,,,,,,Dual LED,4032 x 3024 (12.2 메가픽셀),3648 x 2736 (10 메가픽셀),3840 x 2160 60 FPS,F/1.5 - 2.4,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,4300,Li-Polymer,,"급속충전
일체형",,,무선충전 지원,,77.2,162.33,7.9,"196"
81,갤럭시노트9,SM-N960,samsung,2018. 08,안드로이드 8.1 Oreo | 안드로이드 9.0 Pie,,,6.4,Super AMOLED,1440 x 2960,514,,,,71.11,146.18,,Samsung Exynos 9 9810,8개 (64 비트),2700MHz,ARM MaliG72 MP18,,,,6 | 8 GB,128GB/512GB,,,,4G,,5,,나노유심 ,,,,,,Dual LED,4032 x 3024 (12.2 메가픽셀),3264 x 2448 (8 메가픽셀),3840 x 2160 30 FPS,F/1.5 - 2.4,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,4000,Li-Polymer,,"급속충전
일체형",,,무선충전 지원,,76.4,161.9,8.8,"201"
82,갤럭시노트8,SM-N950,samsung,2018. 02,안드로이드 7.1.1 누가 | 안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,6.3,Super AMOLED,1440 x 2960,522,,,,70,143.9,,Samsung Exynos 9 Octa 8895,8개 (64 비트),2300MHz,ARM MaliG71 MP20,,,,6 GB,64GB/128GB/256GB,,,,4G,,5,,나노유심 ,,,,,,Dual LED,4032 x 3024 (12.2 메가픽셀),3264 x 2448 (8 메가픽셀),3840 x 2160 30 FPS,F/1.7,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3300,Li-Polymer,,"급속충전
일체형",,,무선충전 지원,,74.8,162.5,8.6,"195"
83,갤럭시노트FE,SM-N935,samsung,2017. 07,안드로이드 6.0.1 marshmallow | 안드로이드 7.1 누가 | 안드로이드 8.0 Oreo,,,5.7,Super AMOLED,1440 x 2560,515,,,,70.98,126.19,,Samsung Exynos 8 Octa 8890,8개 (64 비트),2300MHz,ARM MaliT880 MP12,,,,4 GB,64GB,,Micro SD,,4G,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,,Dual LED,4032 x 3024 (12.2 메가픽셀),2592 x 1944 (5 메가픽셀),3840 x 2160 30 FPS,F/1.7,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3200,Li-Polymer,,"급속충전
일체형",,,무선충전 지원,,73.9,153.5,7.9,"167"
