모델명,모델코드,제조회사,출시일,운영체제,판매방식,화면크기(센치),화면크기(인치),패널종류,화면해상도,ppi,최대주사율,화면비,화면면적,화면폭,화면높이,HDR규격,AP종류,코어갯수,코어클럭,그래픽코어,NPU & DSP,Sensor Hub,시스템램,내장메모리,저장장치,외장메모리,5G,4G,WI-FI주파수,블루투스,위성항법,유심타입,듀얼유심,카메라타입,후면카메라,전면카메라,동영상촬영,Flash,사진촬영 해상도,전면 해상도,전면 동영상 해상도,조리개 값,카메라 특징,손떨림보정,손떨림방지,카메라플래시,HDR촬영지원,오토HDR,광학줌,지오태그,레이저 오토포커스,오토 포커스,아웃 포커스,터치 포커스,파노라마,TOF센서,야간모드 촬영,이어폰단자,스피커,고음질재생,사운드 기술,지문인식,얼굴인식,홍채인식,음성잠금해제,AI/인공지능,전자결제,터치펜,방수/방진,기타,충전단자,배터리용량,배터리타입,배터리특징,배터리장착방식,충전지원,고속충전기술,무선충전,색상,가로,세로,두께,무게
갤럭시 S7 엣지,SM-G935,삼성전자,2016. 12,안드로이드 6.0.1 마시멜로우 | 안드로이드 7.0 누가 | 안드로이드 8.0 Oreo,,,5.5,Super AMOLED,1440 x 2560 픽셀,534 ppi,,,,68.49 mm,121.76 mm,,Samsung Exynos 8 Octa 8890,8개 (64 비트),2300 MHz,ARM Mali-T880 MP12,,,4 GB,32 GB / 64 GB,,미확인,LTE,4G,미확인,4.2,,나노유심 ,,,,,3840 x 2160 (-)30 FPS,LED,4032 x 3024 (12.2 메가픽셀),2560 x 1440 (3.7 메가픽셀),2560 x 1440 (3.7 메가픽셀)30 FPS,F/1.7,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3600 mAh,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,72.6,150.9,7.7,157g
갤럭시 S6 엣지플러스,SM-G928,삼성전자,2015. 08,안드로이드 5.1.1 롤리팝 | 안드로이드 6.0.1 마시멜로우 | 안드로이드 7.0 누가 | 안드로이드 8.0 Oreo,,,5.7,Super AMOLED,1440 x 2560 픽셀,515 ppi,,,,70.98 mm,126.19 mm,,Samsung Exynos 7 Octa 7420,8개 (64 비트),2100 MHz,ARM Mali-T760 MP8,,,4 GB,32 GB / 64 GB,,미확인,LTE,4G,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,3840 x 2160 (UHD)30 FPS,LED,5312 x 2988 (15.9 메가픽셀),2560 x 1920 (4.9 메가픽셀),2560 x 1920 (4.9 메가픽셀)30 FPS,F/1.9,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3000 mAh,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,75.8,154.4,6.9,153g
갤럭시 S6 엣지,SM-G925,삼성전자,2015. 04,안드로이드 5.0.2 롤리팝 | 안드로이드 5.1.1 롤리팝 | 안드로이드 6.0 마시멜로우 | 안드로이드 7.0 누가 | And,,,5.1,Super AMOLED,1440 x 2560 픽셀,576 ppi,,,,63.51 mm,112.9 mm,,Samsung Exynos 7 Octa 7420,8개 (64 비트),2100 MHz,ARM Mali-T760 MP8,,,3 GB,32 GB / 64 GB / 128 GB,,미확인,LTE,4G,802.11a/b/g/n/ac,4.1,,나노유심 ,,,,,3840 x 2160 (Full HD)30 FPS,LED,5312 x 2988 (15.9 메가픽셀),2592 x 1944 (5 메가픽셀),2592 x 1944 (5 메가픽셀)30 FPS,F/1.9,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,2600 mAh,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,70.1,142.1,7,132g
갤럭시 S6,SM-G920,삼성전자,2015. 04,안드로이드 5.0.2 롤리팝 | 안드로이드 5.1.1 롤리팝 | 안드로이드 6.0.1 마시멜로우 | 안드로이드 7.0 누가 | A,,,5.1,Super AMOLED,1440 x 2560 픽셀,576 ppi,,,,63.51 mm,112.9 mm,,Samsung Exynos 7 Octa 7420,8개 (64 비트),2100 MHz,ARM Mali-T760 MP8,,,3 GB,32 GB / 64 GB / 128 GB,,미확인,LTE,4G,802.11a/b/g/n,4.1,,나노유심 ,,,,,3840 x 2160 (Full HD)30 FPS,LED,5312 x 2988 (15.9 메가픽셀),2560 x 1920 (4.9 메가픽셀),2560 x 1920 (4.9 메가픽셀)30 FPS,F/1.9,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,2550 mAh,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,70.5,143.4,6.8,138g
갤럭시 S5,SM-G900,삼성전자,2014. 03,안드로이드 4.4.2 KitKat | 안드로이드 5.0 롤리팝 | 안드로이드 6.0.1 마시멜로우,,,5.1,Super AMOLED,1080 x 1920 픽셀,432 ppi,,,,63.51 mm,112.9 mm,,Qualcomm Snapdragon 801 MSM8974AC,4개 (32 비트),2500 MHz,Qualcomm Adreno 330,,,2 GB,16 GB / 32 GB,,Micro SD,LTE,4G,802.11a/b/g/n/ac,4,,마이크로유심 ,,,,,3840 x 2160 (UHD)30 FPS,LED,5312 x 2988 (15.9 메가픽셀),1920 x 1080 (2.1 메가픽셀),1920 x 1080 (2.1 메가픽셀)30 FPS,F/2.2,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,2800 mAh,Li-Ion,분리형,,,,무선충전 지원,,72.5,142,8.1,145g
갤럭시 S5 광대역 LTE-A,SM-G906,삼성전자,2014. 06,안드로이드 4.4.2 KitKat | 안드로이드 6.0 마시멜로우,,,5.1,Super AMOLED,1440 x 2560 픽셀,576 ppi,,,,63.51 mm,112.9 mm,,Qualcomm Snapdragon 805 APQ8084,4개 (32 비트),2500 MHz,Qualcomm Adreno 420,,,3 GB,32 GB,,미확인,3G,3G,미확인,4,,마이크로유심 ,,,,,3840 x 2160 (-)30 FPS,LED,5312 x 2988 (15.9 메가픽셀),1920 x 1080 (2.1 메가픽셀),1920 x 1080 (2.1 메가픽셀)30 FPS,F/2.2,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,2800 mAh,Li-Ion,분리형,,,,무선충전 지원,,72.5,142,8.1,145g
갤럭시 S4,SHV-E300,삼성전자,2013. 04,안드로이드 4.2.2 Jelly Bean | 안드로이드 4.3 Jelly Bean | 안드로이드 4.4 KitKat | 안드로이드 5.0.1 롤리팝,,,4.99,Super AMOLED,1080 x 1920 픽셀,441 ppi,,,,62.26 mm,110.69 mm,,Samsung Exynos 5 Octa 5410,8개 (32 비트),1600 MHz,PowerVR SGX544 MP3,,,2 GB,16 GB / 32 GB / 64 GB,,Micro SD,LTE,4G,802.11a/b/g/n,4,,마이크로유심 ,,,,,1920 x 1080 (Full HD)30 FPS,LED,4128 x 3096 (12.8 메가픽셀),1920 x 1080 (2.1 메가픽셀),1920 x 1080 (2.1 메가픽셀)30 FPS,F/2.2,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600 mAh,Li-Ion,분리형,,,,무선충전 지원,,69.8,136.6,7.9,130g
갤럭시 S4 LTE-A,SHV-E330,삼성전자,2013. 06,안드로이드 4.2.2 Jelly Bean | 안드로이드 4.4 KitKat | 안드로이드 5.0.1 롤리팝,,,5,Super AMOLED,1080 x 1920 픽셀,441 ppi,,,,62.26 mm,110.69 mm,,Qualcomm Snapdragon 800 MSM8974,4개 (32 비트),2300 MHz,Qualcomm Adreno 330,,,2 GB,16 GB / 32 GB,,미확인,LTE,4G,802.11a/b/g/n,4,,마이크로유심 ,,,,,1920 x 1080 (Full HD)30 FPS,LED,4128 x 3096 (12.8 메가픽셀),(0 메가픽셀),(0 메가픽셀)30 FPS,F/2.2,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600 mAh,Li-Ion,분리형,,,,무선충전 지원,,69.8,136.6,7.9,130g
갤럭시 S4 액티브,SHV-E470,삼성전자,2013. 06,안드로이드 4.2.2 Jelly Bean | 안드로이드 4.3 Jelly Bean | 안드로이드 4.4 KitKat | 안드로이드 5.0.1 롤리팝,,,4.99,TFT,1080 x 1920 픽셀,441 ppi,,,,62.26 mm,110.69 mm,,Qualcomm Snapdragon 600 APQ8064T,4개 (32 비트),1900 MHz,Qualcomm Adreno 320,,,2 GB,16 GB,,Micro SD,LTE,4G,802.11a/b/g/n,4,,마이크로유심 ,,,,,1920 x 1080 (Full HD)30 FPS,LED,3264 x 2448 (8 메가픽셀),(0 메가픽셀),(0 메가픽셀)30 FPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600 mAh,Li-Ion,분리형,,,,무선충전 지원,,71.3,139.7,9.1,151g
갤럭시 S4 줌,SM-C105,삼성전자,2013. 06,안드로이드 4.2.2 Jelly Bean | 안드로이드 4.3 Jelly Bean | 안드로이드 4.4.2 KitKat,,,4.3,Super AMOLED,540 x 960 픽셀,256 ppi,,,,53.55 mm,95.19 mm,,Pega-Dual +XMM6262,2개 ( 비트),1500 MHz,ARM Mali-400 MP4,,,1.5 GB,8 GB,,Micro SD,LTE,4G,802.11a/b/g/n,4,,마이크로유심 ,,,,,1920 x 1080 (Full HD)30 FPS,Xenon,4608 x 3456 (15.9 메가픽셀),1600 x 1200 (1.9 메가픽셀),1600 x 1200 (1.9 메가픽셀)FPS,F/3.1 - 6.3,"(광학줌)
손떨림방지 카메라",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2330 mAh,Li-Ion,분리형,,,,-,,63.5,125.5,15.4,208g
갤럭시 S4 미니,SHV-E370,삼성전자,2013. 06,안드로이드 4.2.2 Jelly Bean | 안드로이드 4.4.2 KitKat | 안드로이드 5.0.1 롤리팝,,,4.27,Super AMOLED,540 x 960 픽셀,258 ppi,,,,53.55 mm,95.19 mm,,Qualcomm Snapdragon 400 MSM8930AB,2개 (32 비트),1700 MHz,Qualcomm Adreno 305,,,1.5 GB,8 GB / 16 GB,,Micro SD,LTE,4G,802.11a/b/g/n,4,,마이크로유심 ,,,,,1920 x 1080 (-)30 FPS,LED,3264 x 2448 (8 메가픽셀),(0 메가픽셀),(0 메가픽셀)FPS,F/2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900 mAh,Li-Ion,분리형,,,,-,,61.3,124.6,8.94,107g
갤럭시 S3 LTE,SHV-E210,삼성전자,2012. 07,안드로이드 4.1.1 Jelly Bean | 안드로이드 4.3 Jelly Bean,,,4.8,Super AMOLED,720 x 1280 픽셀,306 ppi,,,,59.77 mm,106.26 mm,,Samsung Exynos 4 Quad 4412,4개 (32 비트),1400 MHz,ARM Mali-400 MP4,,,2 GB,16 GB,,Micro SDHC,LTE,4G,802.11a/b/g/n,4,,마이크로유심 ,,,,,1920 x 1080 (Full HD)30 FPS,LED,3264 x 2448 (8 메가픽셀),(0 메가픽셀),(0 메가픽셀)30 FPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100 mAh,Li-Ion,분리형,,,,-,,70.6,136.6,8.6,138.5g
갤럭시 S2,SHW-M250,삼성전자,2011. 04,안드로이드 2.3.4 Gingerbread | 안드로이드 4.0.4 Ice Cream Sandwich | 안드로이드 4.1 Jelly Bean,,,4.3,Super AMOLED Plus,480 x 800 픽셀,217 ppi,,,,56.19 mm,93.66 mm,,Samsung Exynos 4 Dual 4210,2개 (32 비트),1200 MHz,ARM Mali-400 MP4,,,1 GB,16 GB / 32 GB,,Micro SDHC,3G,3G,802.11a/b/g/n,3,,미니유심 ,,,,,1920 x 1080 (Full HD)30 FPS,LED,3264 x 2448 (8 메가픽셀),1600 x 1200 (1.9 메가픽셀),1600 x 1200 (1.9 메가픽셀)FPS,F/2.6,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650 mAh,Li-Ion,분리형,,,,-,,66.1,125.3,8.5,121g
갤럭시 S2 HD,SHV-E120,삼성전자,2011. 10,Android,,,4.65,AMOLED,720 x 1280,316 ppi,,,,mm,mm,,,개 ( 비트),MHz,-,,,1GB,,,Micro SDHC,LTE,4G,802.11a/b/g/n,,,마이크로 USB,,,,,(Full HD)FPS,,(0 메가픽셀),(0 메가픽셀),(0 메가픽셀)FPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850 mAh,,분리형,,,,-,,68.8,132.65,9.5,142g
갤럭시 S2 LTE,SHV-E110,삼성전자,2011. 09,Android,,,4.5,AMOLED,480 x 800,207 ppi,,,,mm,mm,,,개 ( 비트),MHz,-,,,1GB,,,Micro SDHC,LTE,4G,802.11a/b/g/n,,,마이크로 USB,,,,,(Full HD)FPS,,(0 메가픽셀),(0 메가픽셀),(0 메가픽셀)FPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850 mAh,,분리형,,,,-,,68.8,129.8,9.49,135.5g
갤럭시 S,SHW-M110,삼성전자,2010. 06,Android,,,4,AMOLED,480 x 800,233 ppi,,,,mm,mm,,,개 ( 비트),MHz,-,,,512MB,,,Micro SDHC,3G,3G,802.11b/g/n,,,마이크로 USB,,,,,(HD)FPS,,(0 메가픽셀),(0 메가픽셀),(0 메가픽셀)FPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500 mAh,,분리형,,,,-,,64.2,122.4,9.9,121g
갤럭시 S 호핀,SHW-M190,삼성전자,2011. 03,Android,,,4,AMOLED,480 x 800,233 ppi,,,,mm,mm,,,개 ( 비트),MHz,-,,,512MB,,,Micro SDHC,3G,3G,802.11b/g/n,,,삼성 30핀,,,,,(HD)FPS,,(0 메가픽셀),(0 메가픽셀),(0 메가픽셀)FPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500 mAh,,분리형,,,,-,,64,122.4,10.9,129g
갤럭시 그랜드 맥스,SM-G720,삼성전자,2015. 01,안드로이드 4.4.4 KitKat,,,,TFT,720 x 1280 픽셀,-,,,,65.38 mm,116.22 mm,,Qualcomm Snapdragon 410 MSM8916,4개 (64 비트),1200 MHz,Qualcomm Adreno 306,,,1.5 GB,16 GB,,미확인,LTE,4G,미확인,4,,마이크로유심 ,,,,,1920 x 1080 (-)30 FPS,LED,4160 x 3120 (13 메가픽셀),2560 x 1920 (4.9 메가픽셀),2560 x 1920 (4.9 메가픽셀)FPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500 mAh,Li-Ion,분리형,,,,-,,74.8,146,7.95,-
갤럭시 그랜드2,SM-G710,삼성전자,2014. 03,안드로이드 4.3 Jelly Bean | 안드로이드 4.4.2 KitKat,,,5.25,TFT,720 x 1280 픽셀,280 ppi,,,,65.38 mm,116.22 mm,,Qualcomm Snapdragon 400 MSM8226,4개 (32 비트),1200 MHz,Qualcomm Adreno 305,,,1.5 GB,8 GB,,Micro SD,LTE,4G,802.11a/b/g/n,4,,마이크로유심 ,,,,,1920 x 1080 (-)30 FPS,LED,3264 x 2448 (8 메가픽셀),(0 메가픽셀),(0 메가픽셀)FPS,,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600 mAh,Li-Ion,분리형,,,,-,,75.3,146.8,8.95,163g
갤럭시 그랜드,SHV-E270,삼성전자,2013. 01,Android,,,5,TFT,480 x 800,187 ppi,,,,mm,mm,,,개 ( 비트),MHz,-,,,1GB,,,Micro SDHC,LTE,4G,802.11a/b/g/n,,,마이크로 USB,,,,,(Full HD)FPS,,(0 메가픽셀),(0 메가픽셀),(0 메가픽셀)FPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,분리형,,,,-,,76.9,143.5,9.6,162g
갤럭시 노트10 5G,SM-N971,삼성전자,2019. 08,안드로이드 9.0 Pie,,,6.3,Dynamic AMOLED,1080 x 2280 픽셀,400 ppi,,,,68.5 mm,144.62 mm,,Samsung Exynos 9 9825,8개 (64 비트),MHz,ARM Mali-G76 MP12,,,8 | 12 GB,256 GB,,미확인,5G,5G,미확인,5,,나노유심 ,,,,,3840 x 2160 (-)60 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),3648 x 2736 (10 메가픽셀),3648 x 2736 (10 메가픽셀)30 FPS,F/1.5 - 2.4,"손떨림방지 카메라
듀얼픽셀 카메라",,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3500 mAh,Li-Polymer,"급속충전
일체형",,,,무선충전 지원,,71.8,151,7.9,168g
갤럭시 노트10+ 5G,SM-N976,삼성전자,2019. 08,안드로이드 9.0 Pie,,,6.8,Dynamic AMOLED,1440 x 3040 픽셀,495 ppi,,,,73.94 mm,156.09 mm,,Samsung Exynos 9 9825,8개 (64 비트),MHz,ARM Mali-G76 MP12,,,12 GB,256 GB / 512 GB,,미확인,5G,5G,미확인,5,,나노유심 ,,,,,3840 x 2160 (-)60 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),3648 x 2736 (10 메가픽셀),3648 x 2736 (10 메가픽셀)30 FPS,F/1.5 - 2.4,"손떨림방지 카메라
듀얼픽셀 카메라",,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,4300 mAh,Li-Polymer,"급속충전
일체형",,,,무선충전 지원,,77.2,162.33,7.9,196g
갤럭시 노트9,SM-N960,삼성전자,2018. 08,안드로이드 8.1 Oreo | 안드로이드 9.0 Pie,,,6.4,Super AMOLED,1440 x 2960 픽셀,514 ppi,,,,71.11 mm,146.18 mm,,Samsung Exynos 9 9810,8개 (64 비트),2700 MHz,ARM Mali-G72 MP18,,,6 | 8 GB,128 GB / 512 GB,,미확인,LTE,4G,미확인,5,,나노유심 ,,,,,3840 x 2160 (-)30 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),3264 x 2448 (8 메가픽셀),3264 x 2448 (8 메가픽셀)30 FPS,F/1.5 - 2.4,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,4000 mAh,Li-Polymer,"급속충전
일체형",,,,무선충전 지원,,76.4,161.9,8.8,201g
갤럭시 노트8 올림픽에디션,SM-N950,삼성전자,2018. 02,안드로이드 7.1.1 누가 | 안드로이드 8.0 Oreo | 안드로이드 9.0 Pie,,,6.3,Super AMOLED,1440 x 2960 픽셀,522 ppi,,,,70 mm,143.9 mm,,Samsung Exynos 9 Octa 8895,8개 (64 비트),2300 MHz,ARM Mali-G71 MP20,,,6 GB,64 GB / 128 GB / 256 GB,,미확인,LTE,4G,미확인,5,,나노유심 ,,,,,3840 x 2160 (-)30 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),3264 x 2448 (8 메가픽셀),3264 x 2448 (8 메가픽셀)30 FPS,F/1.7,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3300 mAh,Li-Polymer,"급속충전
일체형",,,,무선충전 지원,,74.8,162.5,8.6,195g
갤럭시 노트FE,SM-N935,삼성전자,2017. 07,안드로이드 6.0.1 marshmallow | 안드로이드 7.1 누가 | 안드로이드 8.0 Oreo,,,5.7,Super AMOLED,1440 x 2560 픽셀,515 ppi,,,,70.98 mm,126.19 mm,,Samsung Exynos 8 Octa 8890,8개 (64 비트),2300 MHz,ARM Mali-T880 MP12,,,4 GB,64 GB,,Micro SD,LTE,4G,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,3840 x 2160 (-)30 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),2592 x 1944 (5 메가픽셀),2592 x 1944 (5 메가픽셀)30 FPS,F/1.7,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3200 mAh,Li-Polymer,"급속충전
일체형",,,,무선충전 지원,,73.9,153.5,7.9,167g
갤럭시 노트7,SM-N930,삼성전자,2016. 08,안드로이드 6.0.1 marshmallow,,,5.7,Super AMOLED,1440 x 2560 픽셀,515 ppi,,,,70.98 mm,126.19 mm,,Samsung Exynos 8 Octa 8890,8개 (64 비트),2300 MHz,ARM Mali-T880 MP12,,,4 GB,64 GB,,Micro SD,LTE,4G,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,3840 x 2160 (UHD)30 FPS,Dual LED,4032 x 3024 (12.2 메가픽셀),2592 x 1944 (5 메가픽셀),2592 x 1944 (5 메가픽셀)30 FPS,F/1.7,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3500 mAh,Li-Polymer,"급속충전
일체형",,,,무선충전 지원,,73.9,153.5,7.9,169g
갤럭시 노트5,SM-N920,삼성전자,2015. 08,안드로이드 5.1.1 롤리팝 | 안드로이드 6.0.1 마시멜로우 | 안드로이드 7.0 누가,,,5.7,Super AMOLED,1440 x 2560 픽셀,515 ppi,,,,70.98 mm,126.19 mm,,Samsung Exynos 7 Octa 7420,8개 (64 비트),2100 MHz,ARM Mali-T760 MP8,,,4 GB,32 GB / 64 GB,,미확인,LTE,4G,802.11a/b/g/n/ac,4.2,,나노유심 ,,,,,3840 x 2160 (UHD)30 FPS,LED,5312 x 2988 (15.9 메가픽셀),2560 x 1920 (4.9 메가픽셀),2560 x 1920 (4.9 메가픽셀)30 FPS,F/1.9,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,SAMSUNG Pay,,,,,3000 mAh,Li-Ion,"급속충전
일체형",,,,무선충전 지원,,76.1,153.2,7.6,171g
갤럭시 노트 4,SM-N910,삼성전자,2014. 09,안드로이드 4.4.4 KitKat | 안드로이드 5.0 롤리팝 | 안드로이드 5.1.1 롤리팝 | 안드로이드 6.0 마시멜로우,,,5.7,Super AMOLED,1440 x 2560 픽셀,515 ppi,,,,70.98 mm,126.19 mm,,Qualcomm Snapdragon 805 APQ8084,4개 (32 비트),2700 MHz,Qualcomm Adreno 420,,,3 GB,32 GB,,Micro SD,LTE,4G,802.11a/b/g/n/ac,4.1,,마이크로유심 ,,,,,3840 x 2160 (UHD)30 FPS,LED,5312 x 2988 (15.9 메가픽셀),2272 x 1696 (3.9 메가픽셀),2272 x 1696 (3.9 메가픽셀)30 FPS,F/2.2,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3220 mAh,Li-Ion,급속충전분리형,,,,-,,78.6,153.5,8.5,176g
갤럭시 노트4 S-LTE,SM-N916,삼성전자,2014. 12,안드로이드 4.4.4 KitKat | 안드로이드 5.0.1 롤리팝 | 안드로이드 5.1.1 롤리팝 | 안드로이드 6.0 마시멜로우,,,5.7,Super AMOLED,1440 x 2560 픽셀,515 ppi,,,,70.98 mm,126.19 mm,,Samsung Exynos 5 Octa 5433,8개 (64 비트),1900 MHz,ARM Mali-T760 MP6,,,3 GB,32 GB,,Micro SD,LTE,4G,802.11a/b/g/n,4.1,,마이크로유심 ,,,,,3840 x 2160 (UHD)30 FPS,LED,5312 x 2988 (15.9 메가픽셀),2272 x 1696 (3.9 메가픽셀),2272 x 1696 (3.9 메가픽셀)30 FPS,F/2.2,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3220 mAh,Li-Ion,급속충전분리형,,,,-,,78.6,153.5,8.5,176g
갤럭시 노트 엣지,SM-N915,삼성전자,2014. 10,안드로이드 4.4.4 KitKat | 안드로이드 5.1.1 롤리팝 | 안드로이드 6.0.1 마시멜로우,,,5.6,Super AMOLED,1600 x 2560 픽셀,539 ppi,,,,75.39 mm,120.62 mm,,Qualcomm Snapdragon 805 APQ8084,4개 (32 비트),2700 MHz,Qualcomm Adreno 420,,,3 GB,32 GB / 64 GB,,Micro SD,LTE,4G,802.11a/b/g/n/ac,4.1,,마이크로유심 ,,,,,3840 x 2160 (UHD)30 FPS,LED,5312 x 2988 (15.9 메가픽셀),2272 x 1696 (3.9 메가픽셀),2272 x 1696 (3.9 메가픽셀)30 FPS,F/2.2,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,지문인식,,,,,,,,,,3000 mAh,Li-Ion,급속충전분리형,,,,-,,82.4,151.3,8.3,174g
갤럭시 노트3,SM-N900,삼성전자,2013. 09,안드로이드 4.3 Jelly Bean | 안드로이드 4.4.4 KitKat | 안드로이드 5.0 롤리팝,,,5.7,Super AMOLED,1080 x 1920 픽셀,386 ppi,,,,70.98 mm,126.19 mm,,Qualcomm Snapdragon 800 MSM8974,4개 (32 비트),2300 MHz,Qualcomm Adreno 330,,,3 GB,16 GB / 32 GB / 64 GB,,Micro SD,LTE,4G,802.11a/b/g/n/ac,4,,마이크로유심 ,,,,,3840 x 2160 (UHD)30 FPS,LED,4128 x 3096 (12.8 메가픽셀),1920 x 1080 (2.1 메가픽셀),1920 x 1080 (2.1 메가픽셀)30 FPS,F/2.2,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200 mAh,Li-Ion,분리형,,,,-,,79.2,151.2,8.3,168g
갤럭시 노트3 네오,SM-N750,삼성전자,2014. 03,안드로이드 4.3 Jelly Bean | 안드로이드 4.4 KitKat | 안드로이드 5.1.1 롤리팝,,,5.5,Super AMOLED,720 x 1280 픽셀,267 ppi,,,,68.49 mm,121.76 mm,,Samsung Exynos 5 Hexa 5260,6개 (32 비트),1700 MHz,ARM Mali-T624,,,2 GB,16 GB,,Micro SD,LTE,4G,802.11a/b/g/n/ac,4,,마이크로유심 ,,,,,1920 x 1080 (Full HD)30 FPS,LED,3264 x 2448 (8 메가픽셀),1920 x 1080 (2.1 메가픽셀),1920 x 1080 (2.1 메가픽셀)30 FPS,,손떨림방지 카메라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100 mAh,Li-Ion,분리형,,,,-,,77.4,148.4,8.6,162g
갤럭시 노트2,SHV-E250,삼성전자,2012. 09,안드로이드 4.1.1 Jelly Bean | 안드로이드 4.1.2 Jelly Bean | 안드로이드 4.3 Jelly Bean | 안드로이드 4.4 KitKat,,,5.5,Super AMOLED,720 x 1280 픽셀,267 ppi,,,,69.11 mm,122.87 mm,,Samsung Exynos 4 Quad 4412,4개 (32 비트),1600 MHz,ARM Mali-400 MP4,,,2 GB,16 GB / 32 GB / 64 GB,,Micro SD,LTE,4G,802.11a/b/g/n,4,,마이크로유심 ,,,,,1920 x 1080 (Full HD)30 FPS,LED,3264 x 2448 (8 메가픽셀),(0 메가픽셀),(0 메가픽셀)30 FPS,F/2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100 mAh,Li-Ion,분리형,,,,무선충전 지원,,80.5,151.1,9.4,180g
갤럭시 노트 32GB,SHV-E160,삼성전자,2011. 11,안드로이드 2.3.5 Gingerbread | 안드로이드 4.0.x Ice Cream Sandwich | 안드로이드 4.1.2 Jelly Bean,,,5.3,Super AMOLED,800 x 1280 픽셀,285 ppi,,,,71.35 mm,114.16 mm,,Samsung Exynos 4 Dual 4210,2개 (32 비트),1400 MHz,ARM Mali-400 MP4,,,1 GB,16 GB / 32 GB,,Micro SDHC,LTE,4G,802.11a/b/g/n,3,,미니유심 ,,,,,1920 x 1080 (Full HD)30 FPS,LED,3264 x 2448 (8 메가픽셀),(0 메가픽셀),(0 메가픽셀)FPS,F/2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500 mAh,Li-Ion,분리형,,,,-,,83,146.9,9.7,178g
갤럭시 폴더2,SM-G160,삼성전자,2017. 06,안드로이드 6.0 마시멜로우,,,3.8,TFT,480 x 800 픽셀,246 ppi,,,,49.66 mm,82.77 mm,,Qualcomm Snapdragon 425 MSM8917,4개 (64 비트),1400 MHz,Qualcomm Adreno 308,,,2 GB,16 GB,,미확인,LTE,4G,미확인,4.2,,나노유심 ,,,,,1920 x 1080 (-)30 FPS,LED,3264 x 2448 (8 메가픽셀),2592 x 1944 (5 메가픽셀),2592 x 1944 (5 메가픽셀)30 FPS,F/1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950 mAh,Li-Ion,분리형,,,,-,,60.2,122,15.4,160g
