pl_id,pl_maker,pl_group,pl_model_code,pl_name,pl_model_name,,링크제목,나무위키링크단품,나무위키링크시리즈
166,lg,v_series,LM-V409,V40 ThinQ,V40 ThinQ,,LG V40 ThinQ,https://namu.wiki/w/LG%20V40%20ThinQ,
167,lg,v_series,LM-V350,V35,V35,,LG V35 ThinQ,https://namu.wiki/w/LG%20V35%20ThinQ,
168,lg,v_series,LGM-V300S,V30s ThinQ,V30s ThinQ,,LG V30 ThinQ,,https://namu.wiki/w/LG%20V30%20ThinQ#s-2.2
169,lg,v_series,LGM-V300,V30,V30,,LGM-V300,https://namu.wiki/w/LGM-V300,
170,lg,v_series,LG-F800,V20,V20,,LG-F800,https://namu.wiki/w/LG-F800,
171,lg,v_series,LG-F600,V10,V10,,LG-F600,https://namu.wiki/w/LG-F600,
172,lg,x_series,LM-X510,X5 2018,X5 2018,,LG X5(2018),https://namu.wiki/w/LG%20X5(2018),
173,lg,x_series,LM-X410,X4,X4,,X4,https://namu.wiki/w/X4,
174,lg,x_series,LM-X415,X4 Plus,X4 Plus,,X4,https://namu.wiki/w/X4,
175,lg,x_series,LM-X625,X6 2019,X6 2019,,X6,https://namu.wiki/w/X6,
176,lg,x_series,LM-X420,X4 2019,X4 2019,,X4,https://namu.wiki/w/X4,
177,lg,x_series,LM-X220,X2 2019,X2 2019,,X2,https://namu.wiki/w/X2,
178,lg,x_series,LM-X210,X2 2018,X2 2018,,X2,https://namu.wiki/w/X2,
179,lg,x_series,LGM-X320,X500,X500,,LGM-X320,https://namu.wiki/w/LGM-X320,
180,lg,x_series,LGM-X401,X401,X401,,LG X400,https://namu.wiki/w/LG%20X400,
181,lg,x_series,LGM-K121,X400,X400,,LGM-K121,https://namu.wiki/w/LGM-K121,
182,lg,x_series,LGM-K120,X300,X300,,LG X300,https://namu.wiki/w/LG%20X300,
183,lg,lg,LG-F750,엑스파워,X Power,,LG X Power,https://namu.wiki/w/LG%20X%20Power,
184,lg,x_series,LG-F770,X5,X5,,LG X5,https://namu.wiki/w/LG%20X5,
185,lg,x_series,LG-F740,X스킨,X Skin,,LG X Skin,https://namu.wiki/w/LG%20X%20Skin,
186,lg,x_series,LG-F690,X캠,X Cam,,LG X Cam,https://namu.wiki/w/LG%20X%20Cam,
187,lg,x_series,LG-F650,X스크린,X Screen,,LG X Screen,https://namu.wiki/w/LG%20X%20Screen,
188,lg,lg,LG-H791,넥서스 5x,Nexus 5x,,넥서스 5X,https://namu.wiki/w/%EB%84%A5%EC%84%9C%EC%8A%A4%205X,
189,lg,lg,LG-F260,옵티머스 LTE3,Optimus LTE3,,옵티머스 LTE3,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20LTE3,
190,lg,lg_folder,LG-F610,와인 스마트 재즈,Wine Smart Jazz,,LG 와인 스마트 재즈,https://namu.wiki/w/LG%20%EC%99%80%EC%9D%B8%20%EC%8A%A4%EB%A7%88%ED%8A%B8%20%EC%9E%AC%EC%A6%88,
191,lg,lg_folder,LG-F480,와인 스마트,Wine Smart,,LG 와인 스마트,https://namu.wiki/w/LG%20%EC%99%80%EC%9D%B8%20%EC%8A%A4%EB%A7%88%ED%8A%B8,
192,lg,lg_folder,LG-T480,와인 스마트 3G,Wine Smart 3G,,LG 와인 스마트,https://namu.wiki/w/LG%20%EC%99%80%EC%9D%B8%20%EC%8A%A4%EB%A7%88%ED%8A%B8,
193,lg,lg_folder,LM-Y110,LG폴더,LG Folder,,LG폴더,https://namu.wiki/w/LG%ED%8F%B4%EB%8D%94,
194,lg,lg_folder,LGM-X100,스마트폴더,SmartFolder,,LG 스마트 폴더,https://namu.wiki/w/LG%20%EC%8A%A4%EB%A7%88%ED%8A%B8%20%ED%8F%B4%EB%8D%94,
195,samsung,folderble,SM-F907,갤럭시 폴드,Galaxy Fold,,갤럭시 폴드,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%ED%8F%B4%EB%93%9C,
196,apple,apple,A2775,아이폰SE(2020),iphoneSE (2020),,아이폰SE,https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B0SE,
197,samsung,a_series,SM-A805,갤럭시 A80,Galaxy A80,,갤럭시 A80,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A80,
198,samsung,folderble,SM-F700,갤럭시 Z플립,Galaxy Z Flip,,갤럭시 Z 플립/공개 전 루머,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20Z%20%ED%94%8C%EB%A6%BD/%EA%B3%B5%EA%B0%9C%20%EC%A0%84%20%EB%A3%A8%EB%A8%B8,
199,samsung,s_series,SM-G981,갤럭시 S20,Galaxy S20,,갤럭시 S20,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S20,
200,samsung,s_series,SM-G986,갤럭시 S20 Plus,Galaxy S20 Plus,,갤럭시 S20+,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S20%2B,
210,samsung,s_series,SM-G988,갤럭시 S20 울트라,Galaxy S20 Ultra,,갤럭시 S20 Ultra,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S20%20Ultra,
211,lg,g_series,LM-G900,벨벳,VELVET,,LG VELVET,https://namu.wiki/w/LG%20VELVET,
212,lg,q_series,LM-Q510,Q51,Q51,,Q51,https://namu.wiki/w/Q51,
213,lg,lg_folder,LM-Y120,LG폴더2,LG Folder 2,,LG 폴더2,https://namu.wiki/w/LG%20%ED%8F%B4%EB%8D%942,
214,lg,q_series,LM-Q630,Q61,Q61,,Q61,https://namu.wiki/w/Q61,
215,samsung,a_series,SM-A315,갤럭시 A31,Galaxy A31,,갤럭시 A31,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A31,
216,samsung,a_series,SM-A516,갤럭시 A51,Galaxy A51,,SM-A516,https://namu.wiki/w/SM-A516,
217,samsung,a_series,SM-A716,갤럭시 A퀀텀,Galaxy A Quantum,,갤럭시 A 퀀텀,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A%20%ED%80%80%ED%85%80,
218,samsung,s_series,SM-G781,갤럭시S20 FE,Galaxy S20 FE,,갤럭시S20,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9CS20,
219,samsung,note_series,SM-N981,갤럭시노트20,GalaxyNote20,,갤럭시 노트20,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%85%B8%ED%8A%B820,
220,samsung,note_series,SM-N986,갤럭시노트20 울트라,GalaxyNote20 Ultra  ,,갤럭시 노트20 Ultra,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%85%B8%ED%8A%B820%20Ultra,
221,lg,q_series,LM-Q310,Q31,LG Q31,,LG Q31,https://namu.wiki/w/LG%20Q31,
222,lg,q_series,LM-Q520,Q52,LG Q52,,Q52,https://namu.wiki/w/Q52,
223,lg,q_series,LM-F100,윙,LG Wing,,,,
224,samsung,a_series,SM-A102,갤럭시 A10e,Galaxy A10e,,갤럭시 A10e,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A10e,
,lg,lg,LG-D821,넥서스5,Google Nexus5 16G  ,,넥서스5,https://namu.wiki/w/%EB%84%A5%EC%84%9C%EC%8A%A45,
,lg,lg,LG-F100,옵티머스 뷰,Optimus VU  ,,옵티머스 뷰,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20%EB%B7%B0,
,lg,g_series,LG-F180,옵티머스 G,Optimus G  ,,LG-F180,https://namu.wiki/w/LG-F180,
,lg,lg,LG-F200,옵티머스 뷰2,Optimus VU2,,옵티머스 뷰 II,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20%EB%B7%B0%20II,
,lg,g_series,LG-F220,옵티머스 GK,LG Optimus GK  ,,옵티머스 GK,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20GK,
,lg,g_series,LG-F240,옵티머스G 프로,Optimus G Pro  ,,옵티머스G,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4G,
,lg,lg,LG-F300,엘지 뷰3,LG Vu3  ,,LG-F300,https://namu.wiki/w/LG-F300,
,lg,lg,LG-F570,엘지 밴드플레이,LG 밴드플레이  ,,LG Band Play,https://namu.wiki/w/LG%20Band%20Play,
,lg,lg,LG-KU5400,프라다폰 3.0,PRADA 3.0  ,,프라다폰 3.0,https://namu.wiki/w/%ED%94%84%EB%9D%BC%EB%8B%A4%ED%8F%B0%203.0,
,lg,lg,LG-LU5400,프라다폰 3.0,PRADA 3.0  ,,프라다폰 3.0,https://namu.wiki/w/%ED%94%84%EB%9D%BC%EB%8B%A4%ED%8F%B0%203.0,
,lg,q_series,LG-LU6500,옵티머스Q2,OPTIMUS Q2  ,,옵티머스Q2,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4Q2,
,lg,lg,LG-SU540,프라다폰 3.0,PRADA 3.0  ,,프라다폰 3.0,https://namu.wiki/w/%ED%94%84%EB%9D%BC%EB%8B%A4%ED%8F%B0%203.0,
,lg,q_series,LM-Q727,Q7,LG Q7  ,,Q7,https://namu.wiki/w/Q7,
,lg,q_series,LM-Q730,Q70,LG Q70  ,,Q70,https://namu.wiki/w/Q70,
,lg,q_series,LM-Q920,Q92,LG Q92  ,,LG Q92,https://namu.wiki/w/LG%20Q92,
,lg,z_series,SU950,옵티머스 Z,Optimus Z  ,,옵티머스 Z,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20Z,
,samsung,samsung,SHV-E275,갤럭시 그랜드,GALAXY GRAND  ,,갤럭시 그랜드 시리즈,,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EA%B7%B8%EB%9E%9C%EB%93%9C%20%EC%8B%9C%EB%A6%AC%EC%A6%88
,samsung,samsung,SHW-M290,갤럭시 지오,GALAXY Gio  ,,갤럭시 지오,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%A7%80%EC%98%A4,
,samsung,a_series,SM-A105,갤럭시 A10,Samsung Galaxy A10  ,,갤럭시 A10,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A10,
,samsung,a_series,SM-A217,갤럭시 A21s,Samsung Galaxy A21s  ,,갤럭시 A21s,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A21s,
,samsung,a_series,SM-A720,갤럭시 A7 2017,Samsung Galaxy A7 2017  ,,갤럭시 A7(2017),https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A7(2017),
,samsung,samsung,SM-G150,갤럭시 폴더,Galaxy Folder  ,,갤럭시 폴더,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%ED%8F%B4%EB%8D%94,
,samsung,samsung,SM-G165,갤럭시 폴더2,Samsung Galaxy Folder2 LTE  ,,갤럭시 폴더2,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%ED%8F%B4%EB%8D%942,
,samsung,samsung,SM-J727,갤럭시 와이드2,Samsung Galaxy Wide 2  ,,갤럭시 와이드2,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EC%99%80%EC%9D%B4%EB%93%9C2,
,samsung,m_series,SM-M205,갤럭시 M20,Samsung Galaxy M20  ,,갤럭시 M20,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20M20,
,lg,,LG-D150,,LG-D150,,LG L 시리즈,,https://namu.wiki/w/LG%20L%20%EC%8B%9C%EB%A6%AC%EC%A6%88
,lg,,LG-D329,LG L70,L70,,LG L70,https://namu.wiki/w/LG%20L70,
,lg,,LG-D700,옵티머스 L9,LG Optimus L9,,옵티머스 L9,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20L9,
,lg,,LG-F120,옵티머스 LTE 태그,LG Optimus LTE Tag,,옵티머스 LTE TAG,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20LTE%20II?from=%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20LTE2,
,lg,,LG-F160,옵티머스 LTE2,LG Optimus LTE2,,옵티머스 LTE II,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20LTE%20II?from=%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20LTE2,
,lg,,LG-F440,아이스크림 스마트,Ice cream Smart,,LG 아이스크림 스마트,https://namu.wiki/w/LG%20%EC%95%84%EC%9D%B4%EC%8A%A4%ED%81%AC%EB%A6%BC%20%EC%8A%A4%EB%A7%88%ED%8A%B8,
,lg,,LG-F580,젠틀,Gentle,,LG Gentle,https://namu.wiki/w/LG%20Gentle,
,lg,,LG-F620,엘지 클래스,LG Class,,LG CLASS,https://namu.wiki/w/LG%20CLASS?from=LG%20%ED%81%B4%EB%9E%98%EC%8A%A4,
,lg,,LG-KH5200,안드로-1,Eve,,안드로-1,https://namu.wiki/w/%EC%95%88%EB%93%9C%EB%A1%9C-1,
,lg,,LG-KU5900,옵티머스블랙,Optimus Black,,옵티머스 블랙,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20%EB%B8%94%EB%9E%99,
,lg,,LG-LU3000,옵티머스 마하,Optimus Mach,,옵티머스 마하,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20%EB%A7%88%ED%95%98,
,lg,,LG-LU6200,옵티머스 LTE,Optimus LTE,,LG-LU6200,https://namu.wiki/w/LG-LU6200,
,lg,,LG-LU6800,옵티머스빅,Optimus Big,,옵티머스 빅,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20%EB%B9%85,
,lg,,LG-T280,옵티머스 L7,LG Optimus L7,,옵티머스 L7,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20L7,
,lg,,LG-SU370,옵티머스원,Optimus One,,옵티머스 원,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20%EC%9B%90,
,lg,,LG-SU660,옵티머스2X,Optimus 2X,,옵티머스 2X,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%202X,
,lg,,LG-SU760,옵티머스3D,Optimus 3D,,옵티머스 3D,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%203D,
,lg,,LG-SU870,옵티머스 3D 큐브,Optimus 3D MAX,,옵티머스 3D 큐브,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%203D%20%ED%81%90%EB%B8%8C,
,lg,,LG-SU880,옵티머스EX,Optimus EX,,옵티머스 EX,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20EX,
,lg,,LM-Q720,Q7,LG Stylo 5+,,LG G Stylo 시리즈,,https://namu.wiki/w/LG%20Stylus%20%EC%8B%9C%EB%A6%AC%EC%A6%88#s-2.6.2.2
,lg,,LM-Q730,Q70,Stylo 6,,LG G Stylo 시리즈,,https://namu.wiki/w/LG%20Stylus%20%EC%8B%9C%EB%A6%AC%EC%A6%88#s-2.7
,lg,,LM-V500,V50 ThinQ 자급제,V50 ThinQ,,LG V50 ThinQ,https://namu.wiki/w/LG%20V50%20ThinQ,
,lg,,LM-X210,X2,LG K9,,LG X2,https://namu.wiki/w/LG%20X2,
,lg,,LM-X220,X2 2019,LG K8s,,LG X2(2019),https://namu.wiki/w/LG%20X2(2019),
,lg,,LM-X420,X4 2019,LM-X420,,LG X4(2019),https://namu.wiki/w/LG%20X4(2019),
,samsung,,Nexus S,넥서스 S,Nexus S,,넥서스 S,https://namu.wiki/w/%EB%84%A5%EC%84%9C%EC%8A%A4%20S,
,samsung,,SHW-M220,갤럭시 네오,Galaxy Neo,,갤럭시 네오,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%84%A4%EC%98%A4,
,samsung,,SM-F916,갤럭시 Z 폴드2,Galaxy Z Fold2 5G,,갤럭시 Z 폴드2,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20Z%20%ED%8F%B4%EB%93%9C2,
