,maker,group,code,name,model_name,storage,color_name,hidden,storage_hidden,color_hidden,class_hidden,size,display_inch,display_cm,weight,battery,front_camera,back_camera,price,score,summary,pl_launch
0,삼성전자,,SM-T530,갤럭시 탭4 10.1,갤럭시 탭4 10.1,16 GB,,,,,,243.4 x 176.4 x 7.95,10.1,,6800 mAh,갤럭시 탭4 10.1,(0 메가픽셀),2048 x 1536 (3.2 메가픽셀),,,,2014. 05
0,삼성전자,,SM-T536,갤럭시 탭 4어드벤스드,갤럭시 탭 4어드벤스드,,,,,,,176.4 x 243.4 x 8,10.1,,6800 mAh,갤럭시 탭 4어드벤스드,(0 메가픽셀),(0 메가픽셀),,,,2016. 05
0,삼성전자,,SM-T550,갤럭시 탭 A,갤럭시 탭 A,16 GB,,,,,,242.57 x 166.88 x 7.37,9.7,,6000 mAh,갤럭시 탭 A,1600 x 1200 (1.9 메가픽셀),2592 x 1944 (5 메가픽셀),,,,미출시
0,삼성전자,,SM-T580,갤럭시 탭 A 10.1 2016,갤럭시 탭 A 10.1 2016,32 GB,,,,,,254.2 x 164.2 x 8.2,10,,7300 mAh,갤럭시 탭 A 10.1 2016,1600 x 1200 (1.9 메가픽셀),3264 x 2448 (8 메가픽셀),,,,2016. 05
0,삼성전자,,SM-T585,갤럭시 탭 A 10.1 2016,갤럭시 탭 A 10.1 2016,32 GB,,,,,,254.2 x 164.2 x 8.2,10,,7300 mAh,갤럭시 탭 A 10.1 2016,1600 x 1200 (1.9 메가픽셀),3264 x 2448 (8 메가픽셀),,,,2016. 05
0,삼성전자,,SM-T590,갤럭시 탭 A 10.5 2018,갤럭시 탭 A 10.5 2018,,,,,,,260 x 161.1 x 8,10.5,,7300 mAh,갤럭시 탭 A 10.5 2018,(0 메가픽셀),(0 메가픽셀),,,,2018. 08
0,삼성전자,,SM-T595,갤럭시 탭 A 10.5 2018 셀룰러,갤럭시 탭 A 10.5 2018 셀룰러,,,,,,,260 x 161.1 x 8,10.5,,7300 mAh,갤럭시 탭 A 10.5 2018 셀룰러,(0 메가픽셀),(0 메가픽셀),,,,2018. 08
0,삼성전자,,SM-T595N,갤럭시 탭 A 10.5 2018 셀룰러,갤럭시 탭 A 10.5 2018 셀룰러,,,,,,,260 x 161.1 x 8,10.5,,7300 mAh,갤럭시 탭 A 10.5 2018 셀룰러,(0 메가픽셀),(0 메가픽셀),,,,2018. 08
0,삼성전자,,SM-T670,갤럭시 뷰,갤럭시 뷰,,,,,,,451.8 x 275.8 x 11.9,18.4,,5700 mAh,갤럭시 뷰,(0 메가픽셀),(0 메가픽셀),,,,2016. 02
0,삼성전자,,SM-T677,갤럭시 뷰,갤럭시 뷰,32 GB / 64 GB,,,,,,454.8 x 275.8 x 11.9,18.4,,5700 mAh,갤럭시 뷰,1920 x 1080 (2.1 메가픽셀),(0 메가픽셀),,,,미출시
0,삼성전자,,SM-T677NK,갤럭시 뷰,갤럭시 뷰,32 GB / 64 GB,,,,,,454.8 x 275.8 x 11.9,18.4,,5700 mAh,갤럭시 뷰,1920 x 1080 (2.1 메가픽셀),(0 메가픽셀),,,,미출시
0,삼성전자,,SM-T677NL,갤럭시 뷰,갤럭시 뷰,32 GB / 64 GB,,,,,,454.8 x 275.8 x 11.9,18.4,,5700 mAh,갤럭시 뷰,1920 x 1080 (2.1 메가픽셀),(0 메가픽셀),,,,미출시
0,삼성전자,,SM-T700,갤럭시 탭 S 8.4,갤럭시 탭 S 8.4,16 GB / 32 GB,,,,,,212.8 x 126.6 x 6.6,8.4,,4900 mAh,갤럭시 탭 S 8.4,1920 x 1080 (2.1 메가픽셀),3264 x 2448 (8 메가픽셀),,,,2014. 06
0,삼성전자,,SM-T713,갤럭시 탭s2 8.0,갤럭시 탭s2 8.0,32 GB / 64 GB,,,,,,198.6 x 134.8 x 5.6,8,,4000 mAh,갤럭시 탭s2 8.0,1920 x 1080 (2.1 메가픽셀),3264 x 2448 (8 메가픽셀),,,,미출시
0,삼성전자,,SM-T715,갤럭시 탭s2 8.0,갤럭시 탭s2 8.0,32 GB / 64 GB,,,,,,198.6 x 134.8 x 5.6,8,,4000 mAh,갤럭시 탭s2 8.0,1920 x 1080 (2.1 메가픽셀),3264 x 2448 (8 메가픽셀),,,,미출시
0,삼성전자,,SM-T720,갤럭시 탭 S5e,갤럭시 탭 S5e,64 GB / 128 GB,,,,,,245 x 160 x 5.5,10.5,,7040 mAh,갤럭시 탭 S5e,3264 x 2448 (8 메가픽셀),4160 x 3120 (13 메가픽셀),,,,2019. 04
0,삼성전자,,SM-T725,갤럭시 탭 S5e,갤럭시 탭 S5e,64 GB / 128 GB,,,,,,245 x 160 x 5.5,10.5,,7040 mAh,갤럭시 탭 S5e,3264 x 2448 (8 메가픽셀),4160 x 3120 (13 메가픽셀),,,,2019. 04
0,삼성전자,,SM-T725N,갤럭시 탭 S5e,갤럭시 탭 S5e,64 GB / 128 GB,,,,,,245 x 160 x 5.5,10.5,,7040 mAh,갤럭시 탭 S5e,3264 x 2448 (8 메가픽셀),4160 x 3120 (13 메가픽셀),,,,2019. 04
0,삼성전자,,SM-T800,갤럭시 탭 S 10.5,갤럭시 탭 S 10.5,16 GB / 32 GB,,,,,,247.3 x 177.3 x 6.6,10.5,,7900 mAh,갤럭시 탭 S 10.5,1920 x 1080 (2.1 메가픽셀),3264 x 2448 (8 메가픽셀),,,,2014. 06
0,삼성전자,,SM-T805,갤럭시 탭 S 10.5,갤럭시 탭 S 10.5,16 GB / 32 GB,,,,,,247.3 x 177.3 x 6.6,10.5,,7900 mAh,갤럭시 탭 S 10.5,1920 x 1080 (2.1 메가픽셀),3264 x 2448 (8 메가픽셀),,,,2014. 11
