,pl_id,모델이름,링크제목,나무위키링크
0,187.0,X스크린,,
0,188.0,Nexus 5x,넥서스 5x,https://namu.wiki/w/%EB%84%A5%EC%84%9C%EC%8A%A4%205x
0,189.0,Optimus LTE3,옵티머스 LTE3,https://namu.wiki/w/%EC%98%B5%ED%8B%B0%EB%A8%B8%EC%8A%A4%20LTE3
0,190.0,Wine Smart Jazz,와인 스마트 재즈,https://namu.wiki/w/%EC%99%80%EC%9D%B8%20%EC%8A%A4%EB%A7%88%ED%8A%B8%20%EC%9E%AC%EC%A6%88
0,191.0,Wine Smart,와인 스마트,https://namu.wiki/w/%EC%99%80%EC%9D%B8%20%EC%8A%A4%EB%A7%88%ED%8A%B8
0,192.0,Wine Smart 3G,LG 와인 스마트,https://namu.wiki/w/LG%20%EC%99%80%EC%9D%B8%20%EC%8A%A4%EB%A7%88%ED%8A%B8
0,193.0,LG Folder,LG폴더,https://namu.wiki/w/LG%ED%8F%B4%EB%8D%94
0,194.0,SmartFolder,스마트폴더,https://namu.wiki/w/%EC%8A%A4%EB%A7%88%ED%8A%B8%ED%8F%B4%EB%8D%94
0,195.0,Galaxy Fold,갤럭시 Z 폴드,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20Z%20%ED%8F%B4%EB%93%9C
0,196.0,iphoneSE (2020),아이폰SE,https://namu.wiki/w/%EC%95%84%EC%9D%B4%ED%8F%B0SE
0,197.0,Galaxy A80,갤럭시 A80,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20A80
0,198.0,Galaxy Z Flip,Z플립,https://namu.wiki/w/Z%ED%94%8C%EB%A6%BD
0,199.0,Galaxy S20,갤럭시 S20,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S20
0,200.0,Galaxy S20 Plus,갤럭시 S20,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S20
0,210.0,Galaxy S20 Ultra,갤럭시 S20 울트라,https://namu.wiki/w/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20S20%20%EC%9A%B8%ED%8A%B8%EB%9D%BC
