,maker,code,name,model_name,storage,size,display_inch,display_cm,weight,battery,front_camera,back_camera,pl_external_storage,pl_launch
0,삼성전자,SM-G925,갤럭시 S6 엣지,갤럭시 S6 엣지,32 GB / 64 GB / 128 GB,70.1 x 142.1 x 7,5.1,,132g,2600 mAh,2592 x 1944 (5 메가픽셀),5312 x 2988 (15.9 메가픽셀),미확인,2015. 04
0,삼성전자,SM-G920,갤럭시 S6,갤럭시 S6,32 GB / 64 GB / 128 GB,70.5 x 143.4 x 6.8,5.1,,138g,2550 mAh,2560 x 1920 (4.9 메가픽셀),5312 x 2988 (15.9 메가픽셀),미확인,2015. 04
0,삼성전자,SM-G900,갤럭시 S5,갤럭시 S5,16 GB / 32 GB,72.5 x 142 x 8.1,5.1,,145g,2800 mAh,1920 x 1080 (2.1 메가픽셀),5312 x 2988 (15.9 메가픽셀),Micro SD,2014. 03
0,삼성전자,SM-G906,갤럭시 S5 광대역 LTE-A,갤럭시 S5 광대역 LTE-A,32 GB,72.5 x 142 x 8.1,5.1,,145g,2800 mAh,1920 x 1080 (2.1 메가픽셀),5312 x 2988 (15.9 메가픽셀),미확인,2014. 06
0,삼성전자,SHV-E300,갤럭시 S4,갤럭시 S4,16 GB / 32 GB / 64 GB,69.8 x 136.6 x 7.9,4.99,,130g,2600 mAh,1920 x 1080 (2.1 메가픽셀),4128 x 3096 (12.8 메가픽셀),Micro SD,2013. 04
0,삼성전자,SHV-E330,갤럭시 S4 LTE-A,갤럭시 S4 LTE-A,16 GB / 32 GB,69.8 x 136.6 x 7.9,5,,130g,2600 mAh,(0 메가픽셀),4128 x 3096 (12.8 메가픽셀),미확인,2013. 06
0,삼성전자,SHV-E470,갤럭시 S4 액티브,갤럭시 S4 액티브,16 GB,71.3 x 139.7 x 9.1,4.99,,151g,2600 mAh,(0 메가픽셀),3264 x 2448 (8 메가픽셀),Micro SD,2013. 06
0,삼성전자,SM-C105,갤럭시 S4 줌,갤럭시 S4 줌,8 GB,63.5 x 125.5 x 15.4,4.3,,208g,2330 mAh,1600 x 1200 (1.9 메가픽셀),4608 x 3456 (15.9 메가픽셀),Micro SD,2013. 06
0,삼성전자,SHV-E370,갤럭시 S4 미니,갤럭시 S4 미니,8 GB / 16 GB,61.3 x 124.6 x 8.94,4.27,,107g,1900 mAh,(0 메가픽셀),3264 x 2448 (8 메가픽셀),Micro SD,2013. 06
0,삼성전자,SHV-E210,갤럭시 S3 LTE,갤럭시 S3 LTE,16 GB,70.6 x 136.6 x 8.6,4.8,,138.5g,2100 mAh,(0 메가픽셀),3264 x 2448 (8 메가픽셀),Micro SDHC,2012. 07
0,,SHV-M440,,,,,,,,,,,,
