pl_id,pl_maker,pl_group,pl_model_code,pl_name,pl_model_name,pl_storage,pl_color_name,pl_hidden,storage_hidden,color_hidden,class_hidden,pl_color_code,pl_launch,pl_size,pl_display_inch,pl_display_cm,pl_weight,pl_battery,pl_front_camera,pl_back_camera,pl_external_storage,pl_review,pl_price,pl_score
27,samsung,a_series,SM-G887,갤럭시 A9 Pro,Galaxy A9 Pro,128,블랙|앱솔루트 블랙|블루,0,0,0|0|0,0|0|0,#000000|#000000|#0000ff,2019.01,74.9 x 158.4 x 7.4,6.4,16.3,173,3400,"2,400만","2,400만+1,000만+500만 (트리플)",128 GB,공시지원금 받고 개통된 제품이 중고매물로 올라와 있기 때문에 선택약정이 불가능하여 확정기변이 아닌 유심기변으로 사용해야 하는 매물이 많음. 이 점 유의하고 거래하세요.,SKT:449900|KT:449900|LG:449900,
28,samsung,a_series,SM-G885,갤럭시 A8 Star,Galaxy A8 Star,64,블랙|화이트,0,0,0|0,0|0|0,#000000|#FFFFFF,2018.07,77 x 162.4 x 7.6,6.3,16,191,3700,"2,400만","2,400만+1,600만 (듀얼)","2 TB, 400 GB","삼성페이 / 방수 빙진 미지원이 아쉬운 모델, 가성비 성능이 좋은 모델 ",SKT:499400,
29,samsung,a_series,SM-A920,갤럭시 A9 2018,Galaxy A9 2018,128,캐비어 블랙|버블검 핑크|레모네이드 블루,0,0,0|0|0,0|0|0,#000000|#FF00FF|#0000ff,2018.12,77 x 162.5 x 7.8,6.3,16,18.3,3800,"2,400만","2,400만+1,000만+800만+500만 (쿼드)","2 TB, 512 GB","4개의 갤럭시 최초 카메라, A시리즈에 카메라 기능은 놀랍지만 가격과 방수지원과 삼성페이 리더기 결제기능이 없는건 타격이 크다.",SKT:599500|KT:599500|LG:599500,
30,samsung,a_series,SM-A530,갤럭시 A8 2018,Galaxy A8 2018,32,블랙|그레이|블루|골드,0,0,0|0|0|0,0|0|0,#000000|#9292ee|#0000ff|#f1d977,2018.01,70.6 x 149.2 x 8.4,5.6,14.19,172,3000,"1,600만+800만 (듀얼)","1,600만","2 TB, 256 GB","갤럭시S8과 노트8를 베이스로 만든 A시리지 중 효율성이 좋은 모델, 후면이 아닌 전면이 듀얼 카메라 탑재(셀피 촬영시 라이브 포커스가 가능)",SKT:499400|KT:599500|LG:499400,
31,samsung,a_series,SM-A600,갤럭시 A6 2018,Galaxy A6 2018,32,블랙|라벤더|골드,0,0,0|0|0,0|0|0,#000000|#f1c232|#f1d977,2018.06,70.8 x 149.9 x 7.7,5.6,14.19,159,3000,"1,600만","1,600만","2 TB, 256 GB",A30 모델과 동일하게 효도폰으로 적합,SKT:346500|KT:346500|LG:346500,
32,samsung,a_series,SM-A750,갤럭시 A7 2018,Galaxy A7 2018,32|64,블랙|블루|골드,0,0,0|0|0,0|0|0,#000000|#0000ff|#f1d977,2018.1,76.8 x 159.8 x 7.5,6,15.24,168,3300,"2,400만","2,400만+800만+500만 (트리플)","2 TB, 512 GB",트리플 카메라와 준수한 기능들 USB-C타입이 아닌 마이크로 5핀 충전 단자는 왠지 아쉬움. 우측 측면에 지문인식 홈버튼이 있어서 기존 후면 지문 모델을 쓰신 분이라면 적응기간이 필요함. 중고 중저가폰에 준수함.,SKT:499400|KT:499400|LG:499400,
33,samsung,a_series,SM-A520,갤럭시 A5 2017,Galaxy A5 2017,32,블랙 스카이|블루 미스트|피치 클라우드,0,0,0|0|0,0|0|0,#000000|#f4cccc|#cfe2f3,2017.01,71.4 x 146.1 x 7.9,5.2,13.22,157,3000,"1,600만","1,600만","2 TB, 256 GB","전작보다 높아진 RAM(3GB), 넉넉해진 내장 메모리(32GB), 방수방진 A시리지 중 최초 지원(IP68), USB-C타입으로 바뀐 첫번째 A시리즈",SKT:297000|KT:297000|LG:297000,
34,samsung,a_series,SM-A810,갤럭시 A8 2016,Galaxy A8 2016,32,핑크|블루|실버,0,0,0|0|0,0|0|0,#d9c2c8|#c8ddea|#c7c8ca,2016.1,76.8 x 156.6 x 7.2,5.7,14.4,182,3300,800만,"1,600만","2 TB, 256 GB",갤럭시S6와 동급 성능! 자이로 센서가 없기 때문에 관련 기능 어플이나 기능은 사용 못함.,SKT:399300,
35,samsung,a_series,SM-A310,갤럭시 A3 2016,Galaxy A3 2016,16,블랙|핑크 골드|화이트|골드,0,0,0|0|0|0,0|0|0,#000000|#fad8d2|#ffffff|#f1d977,2106.03,65.2 x 134.5 x 7.3,4.7,11.93,132,2300,500만,"1,300만","2 TB, 256 GB",\N,SKT:352000|KT:352000|LG:352000,
36,samsung,a_series,SM-A510,갤럭시 A5 2016,Galaxy A5 2016,16,블랙|핑크 골드|화이트|골드,0,0,0|0|0|0,0|0|0,#000000|#fad8d2|#ffffff|#f1d977,2015.01,71 x 144.8 x 7.3,5.2,13.22,155,2900,500만,"1,300만","2 TB, 128 GB",\N,SKT:429000|KT:429000|LG:429000,
